"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"AFG","Afghanistan",-5.91910456569203,-5.92755984885468,-5.7138219848275,-5.40922772798456,-5.52512695701302,-5.63707540402387,-5.47917266272817,-5.41071902985544,-5.21927445777978,-5.3533331163222,-8.7048596837732,-10.2300701729419,-10.7197631689339,-11.0238509658859,-10.7386156226425,-10.5558330234472,-11.2321065108752,-10.33321127144,-10.5548953952062,-9.69817265842528,-9.46916593601421,-9.33408224394465,-9.93836334298755,-10.1566360565347,-9.46914276480624,-9.64361497558397,-8.3780921830657,-8.56991560855915,-8.47226446559236
"ALB","Albania",-0.0145469276345906,-0.152038127730997,-0.0973229625242666,-0.44686251735488,-0.692801500510406,-0.486999870715145,-0.640650696879817,-0.572006661993676,-0.639977994037864,0.0374413297196412,-0.482473343506413,-1.48887550074301,-1.29622060947257,-0.836939188795675,-0.0355372101314373,0.212127982105862,-0.345494968065587,0.0486852434642628,0.528138560159007,1.73701006859049,2.37361706724376,2.10220687644199,1.78757608725341,1.71025591935998,1.36245245131381,1.79617390383597,1.88283530628424,1.51884116656722,1.22260336792437
"DZA","Algeria",1.85387801461403,1.83889389065219,1.21078000207708,0.573802410698143,0.485310612242273,0.293076319309108,0.213991114430442,0.0479006096774128,0.814072578262,0.89036379200811,1.15986398906791,-0.578649694763833,-0.806508985078175,-0.886439245225496,-0.653693319487061,-1.01936594509581,-1.53019995809473,-1.19682388991529,-0.643293732237588,-1.02971489017848,-0.549462037969327,-0.0601249792918637,1.07173730555881,0.711248266574657,0.78204881215801,2.29128515436384,1.30982485237809,0.942977669534535,0.862399390244029
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",-7.25513123639691,-7.39409036346583,-7.47628375841082,-7.52451058973973,-7.56662300443156,-7.6337843443431,-7.57319446362734,-7.41788745870506,-7.92091630925787,-8.02720418261968,-8.8094335698831,-10.5290717841084,-10.554621206401,-10.6614170906443,-10.8561036286054,-11.5689855097509,-11.6252711360328,-10.9657918426298,-10.7793655073528,-11.5128060325771,-11.3243542781873,-10.1121423918666,-9.8530887787409,-9.09918206917614,-8.4965685636252,-7.5667809533857,-6.62929781131288,-6.52856414950776,-6.42374177105997
"ATG","Antigua and Barbuda",1.54671039641919,1.22286562357505,1.01984608717579,0.832215259341538,0.618195605682324,0.261264758799285,0.624859142983347,0.747507703952891,0.418857622527021,-0.1103807397227,-0.0982888217115985,-1.29322288374692,-2.12150051016458,-1.56311820987875,0.224451863349181,1.26535255090632,0.823994757855139,1.8717779182539,2.05146643922559,0.0137981141182024,0.0094364873795314,-0.178787759621265,-2.20144813301759,-3.04904557744126,-3.56623088267268,-2.11787829002709,-3.41680054989944,-4.69370460114146,-5.4103809646455
"ARG","Argentina",2.58099909643582,2.4770510707144,1.83164884933891,1.45720656641587,1.7956138074781,2.03594899382204,1.42415201839738,1.50325307771633,1.06836011322791,0.9024838377346,1.14013006863099,-0.347935520891426,-0.544588427606712,-1.16815252417501,-0.718009743571045,-0.919345491300611,-1.59554400496244,-1.97973519563067,-2.50243790739743,-2.76859492745432,-3.10339347993437,-1.57002503716746,-2.89491378585956,-1.41360401559796,-0.66609263299312,0.0115282428542756,-2.55752318896847,-3.87948582819216,-3.80784981692486
"ARM","Armenia",5.95457455451319,6.21364612283539,5.03549782954678,4.84590590258731,5.47981358671095,5.69599151911488,5.62716243887778,7.0037907317207,7.31574362050698,6.67898850915325,7.21267545401448,6.26263469968193,5.57090063000197,6.6285785882763,6.99329034193068,7.11512641530653,7.03851412201964,6.88905381562365,7.69868292775237,8.75949555762093,8.94746637887687,8.99538593763659,8.51879696398246,8.81314383561133,9.11872796512984,9.67299198217905,9.76248665416186,8.69259570819349,8.15882388995605
"AUS","Australia",14.9460188584486,14.6869527563373,14.2943802627704,13.9524145588721,13.8206466028793,13.773611770646,13.627305025787,13.1680495197211,13.4351180426014,13.4981183154891,13.2458019921258,14.6767832206472,14.4441038789594,14.5079501748648,13.1020571244393,13.8270750904037,12.8898900658962,12.5054284059709,11.2882866415395,11.0172277140184,11.3057612220544,10.4860170901921,9.468200214239,9.58390487889626,8.72426607742347,7.27214343881241,6.56515124897891,3.55843941340036,1.83966739282046
"AUT","Austria",15.2411917964994,15.2008610648833,15.3261785123153,15.2028465154509,15.1083739615088,14.6538195894578,14.947645087938,14.7080968619608,14.6098902599303,14.4596230323233,13.9970410276963,14.4174191861994,14.4237472957101,13.1023804524633,12.351407099979,12.0786277878021,10.7860611294814,10.0784608562804,10.5737852421157,10.5708356128847,10.3765795218562,8.78060733059904,8.26184252415378,7.41990160651957,5.64592836899091,6.34219716395567,4.03876990444651,0.765509242113737,0.592978562035697
"AZE","Azerbaijan",-0.519793711817037,-0.700783311701201,-0.0942210256492828,0.202111433298633,0.0393449241862669,-0.0912501231161613,0.597915515313964,2.63296887340334,2.89501460013503,2.7727068867739,2.94740425274819,-0.405039169485342,-1.6814911947967,-2.51937768228765,-1.17928938420189,-2.06218875412176,-1.39608128110812,-1.67671598229951,-0.79600409370726,0.161952388812111,1.99351435276367,3.36079036537217,2.67713634207666,2.61049779133332,3.03620333729349,2.43994273316667,1.53906758461037,-0.201052190741329,-1.08739152132197
