"ISO3","Name","Value","sign"
"RUS","Russian Federation",-0.00734176275154645,-1
"RWA","Rwanda",0.00495184903528448,1
"KNA","Saint Kitts and Nevis",0.00156531813447731,1
"LCA","Saint Lucia",-0.000477372986177156,0
"VCT","Saint Vincent and the Grenadines",0.00456394223151801,1
"WSM","Samoa",0.000108743591041866,0
"SMR","San Marino",0.00388569085256834,0
"STP","Sao Tome and Principe",0.00548107062756292,1
"SAU","Saudi Arabia",0.0129916211211919,1
"SEN","Senegal",0.00408039159153626,1
"SRB","Serbia",-0.000342415253464652,0
"SYC","Seychelles",0.0102081609170536,1
"SLE","Sierra Leone",-0.00187655058517138,0
"SGP","Singapore",0.000482375046360234,0
"SVK","Slovakia",-0.000121571737855584,0
"SVN","Slovenia",-0.0028651475281109,0
"SLB","Solomon Islands",-0.00523809755571378,0
"SOM","Somalia",-0.000489681011429602,0
"ZAF","South Africa",-0.00179528180916575,0
"ESP","Spain",-0.00024709484438071,0
"LKA","Sri Lanka",0.00109758245514895,0
"SDN","Sudan",-0.00185952527129807,0
"SUR","Suriname",-0.00110480882175716,0
"SWZ","Swaziland",-0.00831297749745106,-1
"SWE","Sweden",-0.00182090906594431,-1
"CHE","Switzerland",0.000370277265876175,0
"SYR","Syrian Arab Republic",-0.0021005372202044,0
"TJK","Tajikistan",0.00156630848912601,0
"TZA","Tanzania, United Republic of",0.00242177845610785,1
"THA","Thailand",0.0037547602325296,1
"TLS","Timor-Leste",-0.00128500296443972,0
"TGO","Togo",0.0105094262339227,1
"TON","Tonga",0.00354209493821133,0
"TTO","Trinidad and Tobago",-0.00130222531418126,0
"TUN","Tunisia",-0.000904534653052231,0
"TUR","Turkey",0.00343412279320082,0
"TKM","Turkmenistan",0.000286186511133046,0
"TUV","Tuvalu",0.0259291837258683,1
"UGA","Uganda",0.000308474542755629,0
"UKR","Ukraine",0.00212790144995262,0
"ARE","United Arab Emirates",0.00178236480768111,0
"GBR","United Kingdom",-0.00425731404999162,-1
"USA","United States",-0.00315013546001927,0
"URY","Uruguay",0.00910125130152014,1
"UZB","Uzbekistan",0.011787961984354,1
"VUT","Vanuatu",0.00325852092359027,0
"VEN","Venezuela, Bolivarian Republic o",-0.00399802006251774,-1
"VNM","Viet Nam",0.00789490432754676,1
"YEM","Yemen",-0.000391933035597486,0
"ZMB","Zambia",0.00330816597843747,0
"ZWE","Zimbabwe",0.00168026139955812,1
