oper_num,oper_nm,apprvl_dt,sign_dt,cntry_cd,cntry_nm,publc_sts_nm,sector_cd,sector_nm,subsector_cd,subsector_nm,oper_typ_cd,opertyp_nm,objtv,orig_apprvd_useq_amnt,totl_cost_orig,loc_cntrprt,lending_typ_nm,modality_cd,modality_nm,facility_typ_cd,facility_typ_nm,envmntl_clssfctn_cd,envmntl_clssfctn_nm,lending_instrmnt_cd,lending_instrmnt_nm,lending_typ_cd,sts_cd
CO0028,Industrial Global Credit Program,1975-12-18T00:00,1976-12-16T00:00,CO,Colombia,Closed,IN,INDUSTRY,IN,INDUSTRY,LON,Loan Operation,EN,30000000.000,30000000.00,0.00,Sovereign Guaranteed,GCR,GCR (Global Credit Operation),NULL,NULL,NULL,NULL,INV,Investment Loan,SG,EXITED
CO0029,Industrial Global Credit Program IV,1988-12-21T00:00,1989-05-26T00:00,CO,Colombia,Closed,IN,INDUSTRY,IN,INDUSTRY,LON,Loan Operation,EN,200000000.000,200000000.00,0.00,Sovereign Guaranteed,GCR,GCR (Global Credit Operation),NULL,NULL,NULL,NULL,INV,Investment Loan,SG,EXITED
CO0030,Rural Development Integrated Boyaca y Santander,1976-09-23T00:00,1976-12-16T00:00,CO,Colombia,Closed,AG,AGRICULTURE AND RURAL DEVELOPMENT,AG-DEV,SUSTAINABLE AGRICULTURAL DEVELOPMENT,LON,Loan Operation,EN,64000000.000,64000000.00,0.00,Sovereign Guaranteed,GOM,GOM (Global of Multiple Works Operation),NULL,NULL,NULL,NULL,INV,Investment Loan,SG,EXITED
CO0031,MIF WWFCali,1993-12-08T00:00,1994-04-07T00:00,CO,Colombia,Closed,PS,PRIVATE FIRMS AND SME DEVELOPMENT,PS-MIC,MICROENTERPRISE DEVELOPMENT,LON,Loan Operation,EN,1500000.000,4500000.00,3000000.00,Non-Sovereign Guaranteed,NULL,NULL,NULL,NULL,NULL,NULL,MIF,Multilateral Investment Fund Instrument,NSG,EXITED
CO0032,Urban Development of Buenaventura,1977-10-20T00:00,1977-12-05T00:00,CO,Colombia,Closed,DU,URBAN DEVELOPMENT AND HOUSING,DU-VIV,HOUSING,LON,Loan Operation,EN,41000000.000,41000000.00,0.00,Sovereign Guaranteed,ESP,ESP (Specific Investment Operation),NULL,NULL,NULL,NULL,INV,Investment Loan,SG,EXITED
CO0033,Improvement of Health Services,1992-12-02T00:00,1993-02-12T00:00,CO,Colombia,Closed,SA,HEALTH,SA-SER,HEALTH SERVICES,LON,Loan Operation,THE PROGRAM'S OBJECTIVE IS TO IMPROVE THE PERFORMANCE AND ADMINISTRATION OF HEALTH INSTITUTIONS IN THE MANAGEMENT AND USE OF RESOURCES; TO PROVIDE FOR A MORE RATIONAL USE OF HOSPITAL INFRASTRUCTURE AND CAPABILITIES; TO PROVIDE TRAINING TO HOSPITAL ADMINISTRATORS AT BOTH CENTRALIZED AND DECENTRALIZED LEVELS IN HOSPITAL PERFORMANCE AND ADMINISTRATION FOR SELECTED HOSPITALS. A PREINVESTMENT COMPONENT WILL PREPARE PROJECTS FOR WIDE SECTORAL APPLICATION.,40000000.000,63130000.00,23130000.00,Sovereign Guaranteed,ESP,ESP (Specific Investment Operation),NULL,NULL,NULL,NULL,INV,Investment Loan,SG,EXITED
CO0034,Four Road Improvement Construction,1975-12-18T00:00,1976-06-16T00:00,CO,Colombia,Closed,TR,TRANSPORT,TR,TRANSPORT,LON,Loan Operation,EN,45800000.000,45800000.00,0.00,Sovereign Guaranteed,ESP,ESP (Specific Investment Operation),NULL,NULL,NULL,NULL,INV,Investment Loan,SG,EXITED
CO0035,Sectoral Investment Program,1991-10-16T00:00,1991-11-25T00:00,CO,Colombia,Closed,RM,REFORM / MODERNIZATION OF THE STATE,RM-FIN,PUBLIC EXPENDITURE MANAGEMENT,LON,Loan Operation,"THE OBJECTIVE OF THE PROGRAM IS TO SUPPORT ONGOING AND FUTURE EFFORTS OF THE GOVERNMENT OF COLOMBIA TO IMPROVE THE COUNTRY'S INVESTMENT ENVIRONMENT, THROUGH THE ADOPTION OF SPECIFIC MEASURES, AS WELL AS THROUGH STUDIES AND TECHNICAL ANALYSIS, THAT WILL LEAD TO EITHER THE REMOVAL OF OBSTACLES OR THE INTRODUCTION OF MEASURES THAT FACILITATE INVESTMENT DECISIONS.",205000000.000,205500000.00,500000.00,Sovereign Guaranteed,PBL,PBL (Policy Based Loan),NULL,NULL,NULL,NULL,PBL,Policy-Based Loan,SG,EXITED
CO0036,TC Loan Justice Modernization Administration,1995-12-13T00:00,1996-02-12T00:00,CO,Colombia,Closed,RM,REFORM / MODERNIZATION OF THE STATE,RM-JUS,MODERNIZATION & ADMINIST OFJUSTICE,LON,Loan Operation,IMPROVING TRAINING OF JUDGES AND OTHER SUPPORT PERSONNEL,9400000.000,12680000.00,3280000.00,Sovereign Guaranteed,TCR,TCR (Technical Cooperation Loan),NULL,NULL,NULL,NULL,INV,Investment Loan,SG,EXITED
CO0037,Microenterprises Program III,1993-11-24T00:00,1995-04-03T00:00,CO,Colombia,Closed,PS,PRIVATE FIRMS AND SME DEVELOPMENT,PS-MIC,MICROENTERPRISE DEVELOPMENT,LON,Loan Operation,"THE OBJECTIVE OF THE PROGRAM IS TO EXPAND THE FINANCIAL AND TECHNICAL ASSISTANCE TO THE MICROENTERPRISE SECTOR, IN ORDER TO IMPROVE PRODUCTIVITY, INCOME AND EMPLOYMENT CONDITIONS AND SUPPORT EFFORTS UNDERTAKEN BY THE COLOMBIAN AUTHORITIES TO INTEGRATE THESE UNITS EQUITABLY INTO THE GROWTH PROCESS.",30000000.000,30000000.00,0.00,Sovereign Guaranteed,GCR,GCR (Global Credit Operation),NULL,NULL,NULL,NULL,INV,Investment Loan,SG,EXITED
CO0038,Hydroelectrical Plant San Carlos I,1977-12-08T00:00,1978-07-12T00:00,CO,Colombia,Closed,EN,ENERGY,EN-HID,NEW HYDROPOWER PROJECTS,LON,Loan Operation,EN,70000000.000,196000000.00,0.00,Sovereign Guaranteed,ESP,ESP (Specific Investment Operation),NULL,NULL,NULL,NULL,INV,Investment Loan,SG,EXITED
CO0041,Environmental Program,1993-09-29T00:00,1994-01-06T00:00,CO,Colombia,Closed,PA,ENVIRONMENT AND NATURAL DISASTERS,PA-BIO,BIODIVERSITY AND PROTECTED AREAS CONSERVATION,LON,Loan Operation,"THE PROGRAM HAS THREE COMPONENTS: (1) FORESTRY AND RENEWABLE NATURAL RESOURCES, (2) INSTITUTIONAL STRENGTHENING, AND (3) AN ENVIRONMENTAL FUND.",81000000.000,106820000.00,25820000.00,Sovereign Guaranteed,GOM,GOM (Global of Multiple Works Operation),NULL,NULL,NULL,NULL,INV,Investment Loan,SG,EXITED
CO0043,Power Lines Reinforcement,1987-07-29T00:00,NULL,CO,Colombia,Closed,EN,ENERGY,EN-D&T,NEW POWER DISTRIBUTION & TRANSMISSION PROJECTS,LON,Loan Operation,EN,86600000.000,86600000.00,0.00,Sovereign Guaranteed,ESP,ESP (Specific Investment Operation),NULL,NULL,NULL,NULL,INV,Investment Loan,SG,EXITED
CO0048,Science & Technology Research Promotion II,1989-12-13T00:00,1990-12-20T00:00,CO,Colombia,Closed,ST,SCIENCE AND TECHNOLOGY,ST-RES,RESEARCH AND DEVELOPMENT SYSTEMS,LON,Loan Operation,EN,40000000.000,66670000.00,26670000.00,Sovereign Guaranteed,GCR,GCR (Global Credit Operation),NULL,NULL,NULL,NULL,INV,Investment Loan,SG,EXITED
CO0053,Broadcast University Education,1985-01-09T00:00,1985-04-04T00:00,CO,Colombia,Closed,ED,EDUCATION,ED-SUP,HIGHER EDUCATION,LON,Loan Operation,EN,37500000.000,95000000.00,57500000.00,Sovereign Guaranteed,GOM,GOM (Global of Multiple Works Operation),NULL,NULL,NULL,NULL,INV,Investment Loan,SG,EXITED
CO0054,Global Credit for Urban Infrastructure,1985-01-16T00:00,1986-12-18T00:00,CO,Colombia,Closed,DU,URBAN DEVELOPMENT AND HOUSING,DU-VIV,HOUSING,LON,Loan Operation,EN,50000000.000,161100000.00,111100000.00,Sovereign Guaranteed,GCR,GCR (Global Credit Operation),NULL,NULL,NULL,NULL,INV,Investment Loan,SG,EXITED
