oper_num,oper_nm,apprvl_dt,sign_dt,cntry_cd,cntry_nm,publc_sts_nm,sector_cd,sector_nm,subsector_cd,subsector_nm,oper_typ_cd,opertyp_nm,objtv,orig_apprvd_useq_amnt,totl_cost_orig,loc_cntrprt,lending_typ_nm,modality_cd,modality_nm,facility_typ_cd,facility_typ_nm,envmntl_clssfctn_cd,envmntl_clssfctn_nm,lending_instrmnt_cd,lending_instrmnt_nm,lending_typ_cd,sts_cd
RG-T1562,Taller sobre Manejo de Recursos Hídricos y Desechos Sólidos,2008-05-08T00:00,2008-05-08T00:00,RG,Regional,Cerrado,AS,AGUA Y SANEAMIENTO,AS,AGUA Y SANEAMIENTO,TCP,Cooperación Técnica,NULL,82044.000,82044.00,0.00,SG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SG,EXITED
RG-T1563,Apoyo a Iniciativas de Inclusion Social de Jóvenes mediante el Fútbol,2008-12-16T00:00,2009-05-05T00:00,RG,Regional,Cerrado,IS,INVERSIONES SOCIALES,IS-ECD,DESARROLLO DE LA PRIMERA INFANCIA,TCP,Cooperación Técnica,"El objetivo central del programa es contribuir al desarrollo y a la inclusión social de niños, niñas y jóvenes desfavorecidos mediante intervenciones que utilizan el fútbol como herramienta",1000000.000,1755000.00,755000.00,SG,NULL,NULL,NULL,NULL,C,Probablemente cause un mínimo o ningún impacto ambiental negativo y social asociado,NULL,NULL,SG,EXITED
RG-T1564,Llama y Vive: Campaña BID contra Trata de Personas (Segunda Fase),2008-11-17T00:00,2008-11-17T00:00,RG,Regional,Cerrado,RM,REFORMA/MODERNIZACIÓN DEL ESTADO,RM,REFORMA/MODERNIZACIÓN DEL ESTADO,TCP,Cooperación Técnica,NULL,150000.000,150000.00,0.00,SG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SG,EXITED
RG-T1565,Apoyo a la Estrategia de Logística en LAC,2008-08-07T00:00,2008-08-07T00:00,RG,Regional,Cerrado,TR,TRANSPORTE,TR,TRANSPORTE,TCP,Cooperación Técnica,"El objetivo general de la cooperación técnica es desarrollar una estrategia para el mejoramiento de logística en ALC que facilitará las operaciones comerciales, así contribuyendo al desarrollo económico y a una mejor calidad de vida en la región.",98500.000,98500.00,0.00,SG,NULL,NULL,NULL,NULL,C,Probablemente cause un mínimo o ningún impacto ambiental negativo y social asociado,NULL,NULL,SG,EXITED
RG-T1566,Apoyo de Servicios de Consultoría Financiera,2008-06-25T00:00,2008-06-25T00:00,RG,Regional,Cerrado,PS,EMPRESAS PRIV Y DESARROLLO DE PYME,PS,EMPRESAS PRIV Y DESARROLLO DE PYME,TCP,Cooperación Técnica,El Departamento Financiamiento Corporativo y Estructurado requiere asistencia técnica relacionada con el financiamiento de operaciones en el sector privado.,63700.000,111400.00,47700.00,NSG,NULL,NULL,NULL,NULL,NULL,NULL,IIC,BID Invest,NSG,EXITED
RG-T1567,Coordinación del Programa Asdi-BID Partnership en Centroamérica,2008-06-03T00:00,2008-06-03T00:00,RG,Regional,Cerrado,NULL,NULL,UND,NULL,TCP,Cooperación Técnica,NULL,23000.000,23000.00,0.00,SG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SG,EXITED
RG-T1568,Desarrollo de Eficiencia Energética en el Sector de Agua y Saneamiento en LAC,2008-09-23T00:00,2008-09-23T00:00,RG,Regional,Cerrado,EN,ENERGIA,EN,ENERGIA,TCP,Cooperación Técnica,NULL,750000.000,900000.00,150000.00,SG,NULL,NULL,NULL,NULL,C,Probablemente cause un mínimo o ningún impacto ambiental negativo y social asociado,NULL,NULL,SG,EXITED
RG-T1569,Programa de Trust Fund Appointee,2008-07-17T00:00,2008-07-17T00:00,RG,Regional,Cerrado,PA,MEDIO AMBIENTE Y DESASTRES NATURALE,PA,MEDIO AMBIENTE Y DESASTRES NATURALE,TCP,Cooperación Técnica,NULL,133500.000,133500.00,0.00,SG,NULL,NULL,NULL,NULL,C,Probablemente cause un mínimo o ningún impacto ambiental negativo y social asociado,NULL,NULL,SG,EXITED
RG-T1570,Generando Oportunidades de Negocios: Desarrollando Enfoques de Negocio,2008-08-19T00:00,2008-08-19T00:00,RG,Regional,Cerrado,PS,EMPRESAS PRIV Y DESARROLLO DE PYME,PS-MDF,DESARROLLO Y FUNCIONAMIENTO DE LOS MERCADOS,TCP,Cooperación Técnica,El objetivo general de este proyecto es contribuir a la pobreza y la reducción de la desigualdad en América Latina y el Caribe mediante la promoción de mercados basados en modelos de negocios con compañías privadas que traigan los beneficios del desarrollo económico y social a las mayorías de la población.,83580.000,83580.00,0.00,NSG,NULL,NULL,NULL,NULL,NULL,NULL,IIC,BID Invest,NSG,EXITED
RG-T1571,Apoyo de Servicios de Consultoría Financiera,2008-06-25T00:00,2008-06-25T00:00,RG,Regional,Cerrado,PS,EMPRESAS PRIV Y DESARROLLO DE PYME,PS,EMPRESAS PRIV Y DESARROLLO DE PYME,TCP,Cooperación Técnica,NULL,55070.000,94140.00,39070.00,NSG,NULL,NULL,NULL,NULL,NULL,NULL,IIC,BID Invest,NSG,EXITED
RG-T1572,Apoyo para la Competitividad de Negocios Forestales,2008-06-12T00:00,2008-06-12T00:00,RG,Regional,Cerrado,PS,EMPRESAS PRIV Y DESARROLLO DE PYME,PS-NEG,CLIMA DE NEGOCIOS Y COMPETITIVIDAD,TCP,Cooperación Técnica,NULL,100000.000,100000.00,0.00,SG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SG,EXITED
RG-T1573,Ciudades para la Paz:Buen Gobierno para la Seguridad Ciudadana,2008-10-03T00:00,2008-11-25T00:00,RG,Regional,Cerrado,RM,REFORMA/MODERNIZACIÓN DEL ESTADO,RM-PUB,REFORMA Y APOYO AL SECTOR PUBLICO,TCP,Cooperación Técnica,"Apoyar a la Alcaldía de Bogotá en la sistematización de sus experiencias y en gestión de conocimiento del tema de Seguridad y Convivencia Ciudadana, el cual constituye una de las prioridades del Plan de Desarrollo Bogotá Positiva: para Vivir mejor 2008-2012.",250000.000,290000.00,40000.00,SG,NULL,NULL,NULL,NULL,C,Probablemente cause un mínimo o ningún impacto ambiental negativo y social asociado,NULL,NULL,SG,EXITED
RG-T1574,Modelaje del Cambio Climático en Latinoamérica y el Caribe,2008-10-10T00:00,2008-10-10T00:00,RG,Regional,Cerrado,PA,MEDIO AMBIENTE Y DESASTRES NATURALE,PA,MEDIO AMBIENTE Y DESASTRES NATURALE,TCP,Cooperación Técnica,NULL,1000000.000,1182600.00,182600.00,SG,NULL,NULL,NULL,NULL,C,Probablemente cause un mínimo o ningún impacto ambiental negativo y social asociado,NULL,NULL,SG,EXITED
RG-T1575,Desarrollo Infantil Temprano y la Reduccion de Pobreza,2008-12-17T00:00,2008-12-17T00:00,RG,Regional,Cerrado,ED,EDUCACION,ED,EDUCACION,TCP,Cooperación Técnica,El objetivo de esta TC es reducir la pobreza mediante la aplicación de programas de desarrollo infantil temprano (DIT) de calidad.,400000.000,500000.00,100000.00,SG,NULL,NULL,NULL,NULL,C,Probablemente cause un mínimo o ningún impacto ambiental negativo y social asociado,NULL,NULL,SG,EXITED
RG-T1576,Análisis Cuantitativo del Embarazo Adolescente y Trayectorias Educativas,2008-07-01T00:00,2008-07-01T00:00,RG,Regional,Cerrado,ED,EDUCACION,ED-SEC,EDUCACION SECUNDARIA,TCP,Cooperación Técnica,Analizar si las políticas de educación que buscan expandir las oportunidades de escolaridad para estudiantes embarazadas y padres adolescentes contribuyen a mejorar el estilo de vida.,80000.000,80000.00,0.00,SG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SG,EXITED
RG-T1577,Analysis Cualitativo del Embarazo Adolescente y Trayectorias Educativas,2008-07-01T00:00,2008-07-01T00:00,RG,Regional,Cerrado,ED,EDUCACION,ED-SEC,EDUCACION SECUNDARIA,TCP,Cooperación Técnica,NULL,100000.000,100000.00,0.00,SG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SG,EXITED
RG-T1578,Programas Municipales de Generación de Ingresos,2008-09-03T00:00,2008-09-03T00:00,RG,Regional,Cerrado,DU,DESARROLLO Y VIVIENDA URBANOS,DU-NEI,MEJORA DE VECINDARIOS,TCP,Cooperación Técnica,El objetivo general de este proyecto consiste en fortalecer la capacidad de los gobiernos e instituciones públicas y privadas de LAC de diseñar e implementar programas municipales de generación de ingresos.,149600.000,149600.00,0.00,SG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SG,EXITED
RG-T1579,Aplicación y Actualización de Indicadores de Riesgo y Gestión de Riesgos,2008-10-03T00:00,2008-10-03T00:00,RG,Regional,Cerrado,PA,MEDIO AMBIENTE Y DESASTRES NATURALE,PA-DRM,GESTIÓN INTEGRADA DEL RIESGO DE DESASTRES,TCP,Cooperación Técnica,NULL,750000.000,750000.00,0.00,SG,NULL,NULL,NULL,NULL,C,Probablemente cause un mínimo o ningún impacto ambiental negativo y social asociado,NULL,NULL,SG,EXITED
RG-T1581,Creación de Red de Centros Tecnológicos Regionales,2008-11-07T00:00,2009-02-05T00:00,RG,Regional,Cerrado,ST,CIENCIA Y TECNOLOGIA,ST,CIENCIA Y TECNOLOGIA,TCP,Cooperación Técnica,"Desarrollar un modelo de colaboración para investigación, desarrollo e innovación en uno o dos áreas de mutuo acuerdo entre los países participantes",250000.000,285000.00,35000.00,SG,NULL,NULL,NULL,NULL,C,Probablemente cause un mínimo o ningún impacto ambiental negativo y social asociado,NULL,NULL,SG,EXITED
RG-T1582,Soluciones Innovadoras para la Inclusión de la Mayoría,2008-08-07T00:00,2008-08-07T00:00,RG,Regional,Cerrado,ST,CIENCIA Y TECNOLOGIA,ST,CIENCIA Y TECNOLOGIA,TCP,Cooperación Técnica,"El objetivo es transformar en conocimiento la información generada a través de la iniciativa ""Innovación para el Desarrollo Inclusivo"".",20000.000,20000.00,0.00,SG,NULL,NULL,NULL,NULL,C,Probablemente cause un mínimo o ningún impacto ambiental negativo y social asociado,NULL,NULL,SG,EXITED
