"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"AFG","Afghanistan",0.00571666840242879,0.00571564501061594,0.0101487205581268,0.0145817961056377,0.0109128734741782,0.00724438943921046,0.00834806171387348,0.00829900493536917,0.00109379665802806,0.000791901103666726,-0.0596320622381779,-0.0875000937953554,-0.101397697472766,-0.108002954387548,-0.101317735395706,-0.112996794909783,-0.119844307262959,-0.107221066342986,-0.106412307519281,-0.0913215476057647,-0.0903417043967577,-0.0826730239177248,-0.0889809740316161,-0.0956677970704561,-0.0848712440194771,-0.0939505824672374,-0.066154582952147,-0.0682560408441315,-0.0663293254625613
"ALB","Albania",-0.0315602682004884,-0.0325439579140946,-0.0343942445895554,-0.0393988092208899,-0.0359593993216201,-0.0324849330230427,-0.0329086213116385,-0.0327537103148677,-0.0346230875740225,-0.0250363919495956,-0.0380830099714002,-0.0579181130749518,-0.0519573647346773,-0.0426897767637,-0.024850481252256,-0.0270374150073884,-0.0388730626382496,-0.0384357024135265,-0.0283577819567924,-0.0079281696305572,0.00175485415208004,-0.00171685975098074,-0.00394413857869985,-0.0100793401418383,-0.0196869600569971,-0.0179139504944364,-0.0233470274095383,-0.0239428477758101,-0.0250763988527274
"DZA","Algeria",-0.0331107775044178,-0.0335228463108262,-0.0471525466075524,-0.0618974979159652,-0.0655747602389499,-0.0697525987373648,-0.068473587108258,-0.0677441791484643,-0.0539340032560323,-0.0534173355527139,-0.0485770696969177,-0.0843770415038286,-0.0874131651107778,-0.0881506792624841,-0.0863678249058005,-0.0934037662253419,-0.0997761993624419,-0.0948449204290427,-0.0856139522899406,-0.0935509840925882,-0.0860885574311727,-0.0773043122712163,-0.0525938365844242,-0.057952722973799,-0.0537635759968145,-0.0500722204097608,-0.0530871061469447,-0.0590707646511978,-0.0578536193201276
"AND","Andorra",-0.293886957283164,-0.299248466596778,-0.308079658903848,-0.305849511907853,-0.308509619279531,-0.313019700674453,-0.326056978757985,-0.333633292193774,-0.33309193268118,-0.326030748063926,-0.319487791182588,-0.311307463922868,-0.288158301001505,-0.27116182668306,-0.248595071040017,-0.247143246902206,-0.25409811279684,-0.244693038044139,-0.237708459039782,-0.249137018566705,-0.252384668991519,-0.256549236756502,-0.252881367058458,-0.262235325471528,-0.232809097430272,-0.199278417715531,-0.231369293392544,-0.234569874614755,-0.188974116179065
"AGO","Angola",-0.13422659423874,-0.13574502942134,-0.137013825081814,-0.137859832268409,-0.138564353975032,-0.139481842228715,-0.135634688403193,-0.133177028891516,-0.143449049614136,-0.146008753996195,-0.157651300987604,-0.186444954092606,-0.189113537682824,-0.189013017097806,-0.188985756980755,-0.201114997947518,-0.202678607623179,-0.190592282479217,-0.184190900546937,-0.193473827337547,-0.190376255065282,-0.165485916610681,-0.158438992153243,-0.139638636417991,-0.127532149491726,-0.109882021942936,-0.0920622798717033,-0.0898143677936897,-0.0897686450167542
"ATG","Antigua and Barbuda",0.0706921895231597,0.0666558658946158,0.0639574421879868,0.0620070393843044,0.0602459363014882,0.0563508859276107,0.0602890891062315,0.0618469706873819,0.0583096354749419,0.0520929325004659,0.0588748108686158,0.0397380163507192,0.0313164536890767,0.0428268680364445,0.0664592664675436,0.0837005391188761,0.0766203911471449,0.0902553238165669,0.0886265153280367,0.0452197715798647,0.0465630543603269,0.0412894605377438,-0.000617198502973648,-0.00606123266679326,-0.0182251263432194,-0.000514344409398848,-0.0169478314407069,-0.0302126833286422,-0.0389908488954863
"ARG","Argentina",-0.00872157047547895,-0.0086259383733594,-0.0189014735380095,-0.0254923044187035,-0.0199584338037156,-0.0152011038026391,-0.0276447421097383,-0.0282951971623505,-0.0357295307258174,-0.0306767395986167,-0.0269194159651928,-0.0537896312867008,-0.0529753213554907,-0.0620533091796194,-0.0571029146471966,-0.0566930403217255,-0.0648021224507389,-0.0718839710473516,-0.0829101522291242,-0.088648494025383,-0.0943465124004274,-0.0617280286342047,-0.0776249235243305,-0.0656361774273985,-0.0552012797674105,-0.0466561524387382,-0.0848113324694854,-0.101880347905403,-0.0971971440098139
"ARM","Armenia",0.0348452944929646,0.0301818803399987,0.00912408203269344,0.00397554164673997,0.0125879907015093,0.0169400867846996,0.0202441136230207,0.0322365956981158,0.0383736865415454,0.0290055759504845,0.0472623329714799,0.0282274395646199,0.0201663263249472,0.0357051276788916,0.0342998309639463,0.0323380885699904,0.0332973033808148,0.0366221239036009,0.0543068422645318,0.0731428458195302,0.0779006389411806,0.0821181311586963,0.0743212276269678,0.0901224599510926,0.103140738726423,0.115573415221021,0.114266672300692,0.0976666668771254,0.091002769733476
"AUS","Australia",0.195386227557796,0.19331545289312,0.189609309021328,0.18680567758662,0.187480997892691,0.189539477523551,0.188828590057015,0.183971723158503,0.191919125306799,0.197189484172337,0.196107481952063,0.229907909933694,0.230476600805256,0.233702452461775,0.213868770117492,0.225311340519036,0.214255170198506,0.210049040458424,0.193571742735041,0.190683949768923,0.195282030160032,0.182609298371243,0.16507946469474,0.160547618688794,0.148494569149654,0.12342064348217,0.120722455840549,0.0853781479025361,0.0643405768087049
"AUT","Austria",0.188125972135251,0.190525941927837,0.194505435648751,0.196128299845495,0.195027090885939,0.190104736433484,0.196837727172716,0.196675354133829,0.19783883321283,0.199000022651739,0.193456075385517,0.209261112551015,0.213306988652675,0.192594174139705,0.176926940631482,0.173073441910193,0.155277336853766,0.143057045814317,0.158251801066311,0.163173165754313,0.159194052876117,0.133830831414086,0.127595719465323,0.117898945601201,0.0936732052417819,0.0978920634364745,0.0623169079558603,0.0267132632291708,0.0187334145350163
"AZE","Azerbaijan",-0.0512501551145007,-0.0538446933172638,-0.0476506051881692,-0.041923003151388,-0.0417420713081323,-0.0425972129371481,-0.0393655299486958,-0.00138431539067663,0.00441086613488967,0.000210743312459793,0.00513491782243586,-0.0558169986530983,-0.0737253468426239,-0.0903571706049257,-0.0620432841878772,-0.0774174020802479,-0.0675686202520712,-0.0723566314237766,-0.05493542196031,-0.0350381340254728,-0.00671841321993799,0.0208583333700011,0.00745411582479955,0.00667627783174995,0.0184525934484757,0.00387347163820589,0.000750314181617917,-0.0242249371755461,-0.0405055027491205
"BHS","Bahamas",0.0373178391275303,0.0333506157005547,0.0374009043396412,0.0387310435545569,0.0319575480944459,0.0280510570666647,0.0303532497554147,0.0352373166517602,0.0364379604911438,0.0369639167325927,0.0450821902183695,0.109658745771152,0.107717677419087,0.0142998038024938,0.0229207886024291,0.0216736255997054,0.0206666246746529,0.0218856966291628,0.0222813983073883,0.0225011752857566,0.00564442160374684,-0.0012371968191382,-0.00977416699204148,-0.0168773279569457,-0.0146592187969145,0.0242760429130264,0.0127394820715678,-0.00467531968801971,-0.0119663568243309
